ScanID,RecordNumber,Timestamp,SignalStrength,MACAddress,SSID
1,1,12:41:09.810,-82,f4:2e:7f:4f:7a:80,airuc-guest
1,2,12:41:09.876,-82,f4:2e:7f:4f:9d:e0,airuc-guest
1,3,12:41:09.942,-81,f4:2e:7f:4f:9d:e2,eduroam
1,6,12:41:10.108,-86,f4:2e:7f:4f:1d:00,airuc-guest
1,7,12:41:10.175,-62,f4:2e:7f:4f:98:20,airuc-guest
1,8,12:41:10.241,-61,f4:2e:7f:4f:98:21,airuc-secure
1,9,12:41:10.307,-62,f4:2e:7f:4f:98:22,eduroam
1,10,12:41:10.374,-74,f4:2e:7f:4f:77:c0,airuc-guest
1,11,12:41:10.440,-80,f4:2e:7f:4f:67:c0,airuc-guest
1,12,12:41:10.507,-73,f4:2e:7f:4f:77:c1,airuc-secure
1,13,12:41:10.573,-79,f4:2e:7f:4f:67:c1,airuc-secure
1,14,12:41:10.639,-73,f4:2e:7f:4f:77:c2,eduroam
1,15,12:41:10.673,-80,f4:2e:7f:4f:67:c2,eduroam
2,1,12:41:44.314,-82,f4:2e:7f:4f:7a:80,airuc-guest
2,2,12:41:44.380,-83,f4:2e:7f:4f:7a:82,eduroam
2,3,12:41:44.413,-79,f4:2e:7f:4f:9d:e0,airuc-guest
2,4,12:41:44.480,-78,f4:2e:7f:4f:9d:e2,eduroam
2,6,12:41:44.613,-77,f4:2e:7f:4f:9d:e1,airuc-secure
2,7,12:41:44.679,-61,f4:2e:7f:4f:98:20,airuc-guest
2,8,12:41:44.745,-61,f4:2e:7f:4f:98:21,airuc-secure
2,9,12:41:44.812,-60,f4:2e:7f:4f:98:22,eduroam
2,10,12:41:44.878,-76,f4:2e:7f:4f:77:c0,airuc-guest
2,11,12:41:44.911,-76,f4:2e:7f:4f:77:c1,airuc-secure
2,12,12:41:44.978,-75,f4:2e:7f:4f:77:c2,eduroam
2,13,12:41:45.044,-84,f4:2e:7f:4f:67:c2,eduroam
2,14,12:41:45.111,-84,f4:2e:7f:4f:67:c0,airuc-guest
2,15,12:41:45.177,-82,f4:2e:7f:4f:67:c1,airuc-secure
3,1,12:41:55.203,-74,f4:2e:7f:4f:9d:e2,eduroam
3,2,12:41:55.269,-77,f4:2e:7f:4f:7a:80,airuc-guest
3,3,12:41:55.336,-78,f4:2e:7f:4f:7a:81,airuc-secure
