ScanID,RecordNumber,Timestamp,SignalStrength,MACAddress,SSID
7,11,13:03:26.973,-82,84:d4:7e:e6:77:42,eduroam
7,12,13:03:27.039,-82,84:d4:7e:e6:24:02,eduroam
7,13,13:03:27.105,-79,04:bd:88:27:4a:40,airuc-guest
7,14,13:03:27.139,-80,04:bd:88:27:4a:42,eduroam
7,15,13:03:27.205,-86,04:bd:88:27:4f:20,airuc-guest
7,16,13:03:27.272,-85,84:d4:7e:ee:94:02,eduroam
7,17,13:03:27.338,-79,04:bd:88:27:4a:41,airuc-secure
8,1,13:03:34.902,-60,84:d4:7e:e6:24:c0,airuc-guest
8,2,13:03:34.969,-66,84:d4:7e:f2:fd:c0,airuc-guest
8,3,13:03:35.035,-66,84:d4:7e:f2:fd:c1,airuc-secure
8,4,13:03:35.101,-65,84:d4:7e:f2:fd:c2,eduroam
8,5,13:03:35.134,-60,84:d4:7e:e6:24:c1,airuc-secure
8,6,13:03:35.201,-59,84:d4:7e:e6:24:c2,eduroam
8,7,13:03:35.267,-81,84:d4:7e:e6:83:e2,eduroam
8,9,13:03:35.400,-80,84:d4:7e:ef:35:41,airuc-secure
8,10,13:03:35.466,-83,84:d4:7e:e6:73:e2,eduroam
8,12,13:03:35.566,-79,e4:c3:2a:85:e7:5b,Ponnurangam-Fiaxell
8,13,13:03:35.632,-79,04:bd:88:27:4a:42,eduroam
8,14,13:03:35.699,-80,04:bd:88:27:4a:40,airuc-guest
9,1,13:03:43.397,-63,84:d4:7e:f2:fd:c0,airuc-guest
9,2,13:03:43.463,-65,84:d4:7e:f2:fd:c1,airuc-secure
9,3,13:03:43.530,-65,84:d4:7e:f2:fd:c2,eduroam
9,4,13:03:43.563,-66,84:d4:7e:e6:24:c1,airuc-secure
9,5,13:03:43.629,-66,84:d4:7e:e6:24:c2,eduroam
9,7,13:03:43.762,-84,84:d4:7e:f2:fc:61,airuc-secure
9,8,13:03:43.828,-67,84:d4:7e:e6:24:c0,airuc-guest
9,9,13:03:43.894,-81,84:d4:7e:f3:00:81,airuc-secure
9,10,13:03:43.961,-80,84:d4:7e:f3:00:82,eduroam
9,11,13:03:44.027,-89,84:d4:7e:e6:f0:a0,airuc-guest
9,12,13:03:44.093,-82,84:d4:7e:f2:f1:c1,airuc-secure
9,13,13:03:44.160,-83,84:d4:7e:f2:f1:c2,eduroam
9,14,13:03:44.193,-83,a8:5e:45:dc:fd:80,eng24
9,15,13:03:44.259,-81,04:bd:88:27:4a:41,airuc-secure
9,16,13:03:44.326,-81,04:bd:88:27:4a:42,eduroam
10,1,13:03:51.890,-63,84:d4:7e:e6:24:c0,airuc-guest
10,2,13:03:51.956,-63,84:d4:7e:f2:fd:c0,airuc-guest
10,3,13:03:52.022,-63,84:d4:7e:f2:fd:c1,airuc-secure
10,4,13:03:52.089,-63,84:d4:7e:f2:fd:c2,eduroam
10,5,13:03:52.122,-62,84:d4:7e:e6:24:c1,airuc-secure
10,6,13:03:52.188,-63,84:d4:7e:e6:24:c2,eduroam
10,7,13:03:52.255,-84,84:d4:7e:e6:83:e1,airuc-secure
10,10,13:03:52.454,-84,04:bd:88:27:4a:40,airuc-guest
10,11,13:03:52.520,-83,04:bd:88:27:4a:41,airuc-secure
